views,comments,shares,likes,duration,captions,hashtags,created_at,created_day,created_month,created_year,tokenized_captions,filtered_captions,caption_length,split_hashtags
3000000,5006,1164,3504,23,I think Ill order online shopping for today learnfromkhaby comic commedy ,"learnfromkhaby, comic, commedy",2023-06-12,Monday,June,2023,"['I', 'think', 'Ill', 'order', 'online', 'shopping', 'for', 'today', 'learnfromkhaby', 'comic', 'commedy']","['think', 'Ill', 'order', 'online', 'shopping', 'today', 'learnfromkhaby', 'comic', 'commedy']",73,"['learnfromkhaby', 'comic', 'commedy']"
10800000,7425,1674,8491,31,I hope you will appreciate my little house  It is for you learnfromkhaby  comic commedy,"learnfromkhaby, comic, commedy",2023-06-07,Wednesday,June,2023,"['I', 'hope', 'you', 'will', 'appreciate', 'my', 'little', 'house', 'It', 'is', 'for', 'you', 'learnfromkhaby', 'comic', 'commedy']","['hope', 'appreciate', 'little', 'house', 'learnfromkhaby', 'comic', 'commedy']",87,"['learnfromkhaby', 'comic', 'commedy']"
2900000,5734,1756,2472,27,I think I will change gyms after today learnfronkhaby  comic,"learnfronkhaby, comic",2023-06-05,Monday,June,2023,"['I', 'think', 'I', 'will', 'change', 'gyms', 'after', 'today', 'learnfronkhaby', 'comic']","['think', 'change', 'gyms', 'today', 'learnfronkhaby', 'comic']",60,"['learnfronkhaby', 'comic']"
3200000,6839,1154,2854,42,My friend  in this way we will not go very far learnfromkhaby  comic ,"learnfromkhaby, comic",2023-06-04,Sunday,June,2023,"['My', 'friend', 'in', 'this', 'way', 'we', 'will', 'not', 'go', 'very', 'far', 'learnfromkhaby', 'comic']","['friend', 'way', 'go', 'far', 'learnfromkhaby', 'comic']",69,"['learnfromkhaby', 'comic']"
17100000,114,4515,2000000,35,I would have expected anything but certainly not to come out all wet learnfromkhaby  comic ,"learnfromkhaby, comic",2023-06-02,Friday,June,2023,"['I', 'would', 'have', 'expected', 'anything', 'but', 'certainly', 'not', 'to', 'come', 'out', 'all', 'wet', 'learnfromkhaby', 'comic']","['would', 'expected', 'anything', 'certainly', 'come', 'wet', 'learnfromkhaby', 'comic']",91,"['learnfromkhaby', 'comic']"
4900000,6393,211,5283,29,Me and the fish made an exchange for   todaylearnfromkhaby  comic fishing,"learnfromkhaby, comic, fishing",2023-05-30,Tuesday,May,2023,"['Me', 'and', 'the', 'fish', 'made', 'an', 'exchange', 'for', 'todaylearnfromkhaby', 'comic', 'fishing']","['fish', 'made', 'exchange', 'todaylearnfromkhaby', 'comic', 'fishing']",73,"['learnfromkhaby', 'comic', 'fishing']"
8200000,5527,1394,7214,29,I think Ill find more to do from now on learnfromkhaby  comic,"learnfromkhaby, comic",2023-05-26,Friday,May,2023,"['I', 'think', 'Ill', 'find', 'more', 'to', 'do', 'from', 'now', 'on', 'learnfromkhaby', 'comic']","['think', 'Ill', 'find', 'learnfromkhaby', 'comic']",61,"['learnfromkhaby', 'comic']"
6200000,135,2869,5951,81,Slowly slowly I found two tickets one I can give you transformers  riseofthebeasts learnfromkhaby transformersmovie ,"transformers, riseofthebeasts, learnfromkhaby",2023-05-25,Thursday,May,2023,"['Slowly', 'slowly', 'I', 'found', 'two', 'tickets', 'one', 'I', 'can', 'give', 'you', 'transformers', 'riseofthebeasts', 'learnfromkhaby', 'transformersmovie']","['Slowly', 'slowly', 'found', 'two', 'tickets', 'one', 'give', 'transformers', 'riseofthebeasts', 'learnfromkhaby', 'transformersmovie']",116,"['transformers', 'riseofthebeasts', 'learnfromkhaby']"
15300000,7843,1788,1300000,39,its not always a matter of strength   learnfromkhaby  comic gym,"learnfromkhaby, comic, gym",2023-05-23,Tuesday,May,2023,"['its', 'not', 'always', 'a', 'matter', 'of', 'strength', 'learnfromkhaby', 'comic', 'gym']","['always', 'matter', 'strength', 'learnfromkhaby', 'comic', 'gym']",63,"['learnfromkhaby', 'comic', 'gym']"
125400000,74,59,11100000,17,I do believe we can change the world with this strategy  learnfromkhaby comic,"learnfromkhaby, comic",2023-05-19,Friday,May,2023,"['I', 'do', 'believe', 'we', 'can', 'change', 'the', 'world', 'with', 'this', 'strategy', 'learnfromkhaby', 'comic']","['believe', 'change', 'world', 'strategy', 'learnfromkhaby', 'comic']",77,"['learnfromkhaby', 'comic']"
11800000,104,397,1300000,21,I think I got it in my pants  learnfromkhaby  comic,"learnfromkhaby, comic",2023-05-18,Thursday,May,2023,"['I', 'think', 'I', 'got', 'it', 'in', 'my', 'pants', 'learnfromkhaby', 'comic']","['think', 'got', 'pants', 'learnfromkhaby', 'comic']",51,"['learnfromkhaby', 'comic']"
106700000,433,195,7200000,31,And be sure to recycle  We have only one Earth   learnfromkhaby  comic,"learnfromkhaby, comic",2023-05-17,Wednesday,May,2023,"['And', 'be', 'sure', 'to', 'recycle', 'We', 'have', 'only', 'one', 'Earth', 'learnfromkhaby', 'comic']","['sure', 'recycle', 'one', 'Earth', 'learnfromkhaby', 'comic']",70,"['learnfromkhaby', 'comic']"
12300000,6195,3782,9205,22,I have a strong fashion inspiration these days  learnfromkhaby comic,"learnfromkhaby, comic",2023-05-16,Tuesday,May,2023,"['I', 'have', 'a', 'strong', 'fashion', 'inspiration', 'these', 'days', 'learnfromkhaby', 'comic']","['strong', 'fashion', 'inspiration', 'days', 'learnfromkhaby', 'comic']",68,"['learnfromkhaby', 'comic']"
15100000,379,37,1300000,23,this is my new outfit If you would like to buy it please contact me in DM learnfromkhaby comic,"learnfromkhaby, comic",2023-05-15,Monday,May,2023,"['this', 'is', 'my', 'new', 'outfit', 'If', 'you', 'would', 'like', 'to', 'buy', 'it', 'please', 'contact', 'me', 'in', 'DM', 'learnfromkhaby', 'comic']","['new', 'outfit', 'would', 'like', 'buy', 'please', 'contact', 'DM', 'learnfromkhaby', 'comic']",94,"['learnfromkhaby', 'comic']"
13700000,173,653,2100000,44,Dont cheat with the GOAT   learnfromkhaby  fastx johncena  The Fast Saga Universal Pictures,"learnfromkhaby, fastx, johncena",2023-05-13,Saturday,May,2023,"['Dont', 'cheat', 'with', 'the', 'GOAT', 'learnfromkhaby', 'fastx', 'johncena', 'The', 'Fast', 'Saga', 'Universal', 'Pictures']","['Dont', 'cheat', 'GOAT', 'learnfromkhaby', 'fastx', 'johncena', 'Fast', 'Saga', 'Universal', 'Pictures']",91,"['learnfromkhaby', 'fastx', 'johncena']"
44900000,15,33,3800000,34,If I had to choose the most waterproof dress I would definitely go for the first one  learnfromkhaby comic ,"learnfromkhaby, comic",2023-05-11,Thursday,May,2023,"['If', 'I', 'had', 'to', 'choose', 'the', 'most', 'waterproof', 'dress', 'I', 'would', 'definitely', 'go', 'for', 'the', 'first', 'one', 'learnfromkhaby', 'comic']","['choose', 'waterproof', 'dress', 'would', 'definitely', 'go', 'first', 'one', 'learnfromkhaby', 'comic']",107,"['learnfromkhaby', 'comic']"
