views,comments,shares,likes,duration,captions,hashtags,created_at
"3,000,000",5٫006,1٫164,350٫4,23,I think I’ll order online shopping for today #learnfromkhaby #comic #commedy 🇮🇳❤️,"learnfromkhaby, comic, commedy",6/12/2023
"10,800,000",7٫425,1٫674,849٫1,31,I hope you will appreciate my little house. 🏠 It is for you #learnfromkhaby  #comic #commedy,"learnfromkhaby, comic, commedy",6/7/2023
"2,900,000",5٫734,1٫756,247٫2,27,I think I will change gyms after today #learnfronkhaby  #comic,"learnfronkhaby, comic",6/5/2023
"3,200,000",6٫839,1٫154,285٫4,42,"My friend , in this way we will not go very far! #learnfromkhaby  #comic ","learnfromkhaby, comic",6/4/2023
"17,100,000",11٫4,4٫515,"2,000,000",35,"I would have expected anything, but certainly not to come out all wet #learnfromkhaby  #comic ","learnfromkhaby, comic",6/2/2023
"4,900,000",6٫393,2٫11,528٫3,29,Me and the fish made an exchange for   today#learnfromkhaby  #comic #fishing,"learnfromkhaby, comic, fishing",5/30/2023
"8,200,000",5٫527,1٫394,721٫4,29,I think I'll find more to do from now on! #learnfromkhaby  #comic,"learnfromkhaby, comic",5/26/2023
"6,200,000",13٫5,2٫869,595٫1,81,"Slowly, slowly! I found two tickets, one I can give you! #transformers  #riseofthebeasts #learnfromkhaby @transformersmovie ","transformers, riseofthebeasts, learnfromkhaby",5/25/2023
"15,300,000",7٫843,1٫788,"1,300,000",39,it's not always a matter of strength 💪🏿  #learnfromkhaby  #comic #gym,"learnfromkhaby, comic, gym",5/23/2023
"125,400,000",74,59,"11,100,000",17,I do believe we can change the world with this strategy ! #learnfromkhaby #comic,"learnfromkhaby, comic",5/19/2023
"11,800,000",10٫4,3٫97,"1,300,000",21,I think I got it in my pants 😧 #learnfromkhaby  #comic,"learnfromkhaby, comic",5/18/2023
"106,700,000",43٫3,19٫5,"7,200,000",31,And be sure to recycle ! We have only one Earth ! 🌎 #learnfromkhaby  #comic,"learnfromkhaby, comic",5/17/2023
"12,300,000",6٫195,3٫782,920٫5,22,I have a strong fashion inspiration these days ! #learnfromkhaby #comic,"learnfromkhaby, comic",5/16/2023
"15,100,000",37٫9,37,"1,300,000",23,this is my new outfit. If you would like to buy it please contact me in DM! #learnfromkhaby #comic,"learnfromkhaby, comic",5/15/2023
"13,700,000",17٫3,6٫53,"2,100,000",44,Don't cheat with the GOAT!   #learnfromkhaby  #fastx #johncena  @The Fast Saga @Universal Pictures,"learnfromkhaby, fastx, johncena",5/13/2023
"44,900,000",15,3٫3,"3,800,000",34,"If I had to choose the most waterproof dress, I would definitely go for the first one. 💦☔️ #learnfromkhaby #comic ","learnfromkhaby, comic",5/11/2023
"6,600,000",5٫05,1٫492,678٫9,29,Never had a bed this comfy before. 😴 #learnfromkhaby  #comic @Anna,"learnfromkhaby, comic",5/9/2023
"23,100,000",9٫927,3٫934,"1,300,000",34,"next time you brake the glass, you'll clean up! #learnfromkhaby  #comic ","learnfromkhaby, comic",5/6/2023
"15,500,000",11٫2,6٫041,"1,600,000",59,What power would you like to have if you were a superhero ?  #guardiansofthegalaxyvolume3 #learnfromkhaby  @prattprattpratt @zoesaldana @Disney Italia @Marvel Entertainment,"guardiansofthegalaxyvolume3, learnfromkhaby",5/5/2023
"59,800,000",29٫3,15٫8,"6,100,000",32,"Don't worry, you'll try again next time! #learnfromkhaby #comic ","learnfromkhaby, comic",5/4/2023
"18,600,000",8٫951,2٫125,"1,700,000",29,"Bro, I think we should both improve our aim. 🎯 #dontlearnfromkhaby  #comic ","dontlearnfromkhaby, comic",5/2/2023
"9,800,000",12٫1,4٫373,952٫6,28,"Don't worry little girl, every little thing is gonna be alright 🎵🤣  What's the song that makes you feel happy? #learnfromkhaby  #comic ","learnfromkhaby, comic",4/27/2023
"7,100,000",14٫3,4٫59,621٫9,15,After all this way I have to come back home! 🏊🏿‍♂️ #learnfromkhaby  #comic,"learnfromkhaby, comic",4/26/2023
"8,100,000",4٫823,1,712٫8,29,"Desculpe irmão, mas agora você está por sua conta 🇧🇷❤️ Sorry brother, but now you are on your own🇧🇷❤️  #dontlearnfromkhaby  #comic ","dontlearnfromkhaby, comic",4/24/2023
"9,400,000",15٫5,4٫191,"1,100,000",84,you can't cheat the magic of singing in the shower 🚿 #learnfromkhaby  #comic,"learnfromkhaby, comic",4/23/2023
"9,700,000",16٫7,4٫361,906,24,"Next?!? Please, not me! ✂️ #dontlearnfromkhaby  #comic #donottrythisathome ","dontlearnfromkhaby, comic, donottrythisathome",4/21/2023
"150,900,000",89٫5,47٫7,"12,000,000",41,"my brother, I can give you an apron for your birthday! 👨‍🍳 #learnfromkhaby  #comic ","learnfromkhaby, comic",4/19/2023
"31,600,000",15٫2,6٫905,"3,500,000",36,I like this alternative method of turning off the light? 💡 How would you do it? The best video will be posted in my stories! Tag me and use the hashtag #turnthelightwithkhaby,turnthelightwithkhaby,4/17/2023
"128,900,000",63,27,"11,700,000",33,Car VS Khaby ZERO - ONE!!! 🏎️💪🏿 #learnfromkhaby #comic,"learnfromkhaby, comic",4/15/2023
"9,500,000",9٫48,2٫344,821٫4,17,I asked my friend to take the picture from a little higher up 👩🏿‍🚀🚀 #learnfromkhaby #comic,"learnfromkhaby, comic",4/13/2023
"6,700,000",2٫403,1٫623,467٫2,8,"bro, next time we'd better go by car 🚲🚗 #dontlearnfrommybro  #comic ","dontlearnfrommybro, comic",4/12/2023
"11,500,000",16٫2,4٫002,"1,200,000",42,When everything around you looks damn #gta  #dontlearnfromkhaby  #comic Would you like to watch a second part of Khaby in GTA mode ?,"gta, dontlearnfromkhaby, comic",4/7/2023
"11,100,000",11٫9,4٫767,954٫7,19,Happily Ever After  ❤️ #learnfromkhaby #comic,"learnfromkhaby, comic",4/4/2023
"51,600,000",15٫2,5٫583,"2,700,000",28,Sometimes the easiest way is the fastest way 😉 #learnfromkhaby  #comic,"learnfromkhaby, comic",4/3/2023
"28,200,000",16٫6,8٫909,"3,100,000",28,"Someday when I have more time I will try , I promise#learnfromkhaby #comic ","learnfromkhaby, comic",3/31/2023
"14,900,000",9٫713,3٫414,"1,300,000",39,"Bro, you could have spent that time sleeping. 🛌 #spleepingmask #learnfromkhaby","spleepingmask, learnfromkhaby",3/27/2023
"10,200,000",16٫9,3٫142,"1,100,000",61,Let me teach you some Italian culture 🇮🇹🤌🏿 #italianfood  #learnfromkhaby,"italianfood, learnfromkhaby",3/22/2023
"53,100,000",17٫7,10,"3,900,000",30,"hey bro, if you keep cutting potatoes like that, you won't have anything left! #learnfromkhaby  #comic #nowastefood ","learnfromkhaby, comic, nowastefood",3/18/2023
"11,400,000",14٫1,2٫409,814,42,"""First day of work on site! 👷 ""#dontlearnfromkhaby #work #comic ","dontlearnfromkhaby, work, comic",3/15/2023
"5,000,000",10٫4,1٫215,342٫6,105,"I was so happy to go to the Oscars night, I was the first one to enter the hall, and while everyone was inside having drinks, I was thinking that until yesterday I was a bricklayer and dreaming of being an actor and making movies, and last night I found myself at the Oscars night, I still have to realize it, I just want to say one thing dreams come true if you really believe in them. #oscars ",oscars,3/13/2023
"9,000,000",12٫3,1٫73,647٫9,56,a great honor to be invited to the incredible night of the #oscars ⭐️,oscars,3/12/2023
"3,500,000",3٫792,697,215٫9,14,Best Birthday Party ever 🎊🎉 ~ Thank you for all the good wishes. You have made my day. ❤️❤️❤️ #learnfromkhaby #comic,"learnfromkhaby, comic",3/9/2023
"23,100,000",13٫2,9٫769,"2,400,000",23,"""This technique works really EVERYWHERE!"" #dontlearnfromkhaby  #comic ","dontlearnfromkhaby, comic",3/6/2023
"9,500,000",12,3٫262,783٫2,14,First day as a video reporter! 📹 #learnfromkhaby #comic,"learnfromkhaby, comic",3/4/2023
"65,300,000",43٫9,38٫9,"8,000,000",22,"Bro, I go with your flow 👊🏿 #learnfromkhaby #comic ","learnfromkhaby, comic",3/1/2023
"33,900,000",18٫7,12٫5,"2,800,000",30,You can't cheat Prof. Khaby👨🏾‍🏫. #learnfromkhaby,learnfromkhaby,2/16/2023
"5,100,000",13٫6,1٫142,285٫2,22,"Lost in endless dunes, the wind howls fiercely. Yet we press on, for the greatest journeys require the strongest wills. Our new YouTube adventure awaits. Discover more in my Official Youtube Channel.  #learnfromkhaby  #KhabyVlog","learnfromkhaby, khabyvlog",2/14/2023
"3,200,000",4٫666,1٫092,243٫3,22,"""In this difficult time, our thoughts and prayers are with those affected by the earthquake in Syria and Turkey.""  🇸🇾❤️🇹🇷 #helpsyria  #helpturkey ","helpsyria, helpturkey",2/13/2023
"13,600,000",7٫471,2٫063,"1,600,000",37,Treat others as you wish to be treated. ❤️🇹🇷 #helpturkey,helpturkey,2/13/2023
"8,900,000",10٫5,2٫941,843٫4,26,"Dear Drake, we will never go to a party together again! Credit @maxgoodrich ",,2/11/2023
"6,900,000",4٫704,1٫209,496٫4,38,it was so difficult to go in reverse?#learnfromkhaby,learnfromkhaby,2/6/2023
"223,700,000",23,6٫84,"1,500,000",44,"Win a chance to be in a TikTok with me! All you have to do is 1) guess how many times ""State Farm Stadium"" could be mentioned during the Big Game in the comments below and 2) follow @jakefromstatefarm  to find out who wins! #statefarmstadiumchallenge  Rules: st8.fm/bgrules #Ad ","statefarmstadiumchallenge, ad",2/5/2023
"21,900,000",20٫7,8٫456,"1,900,000",38,maybe I chose the wrong house 🥷🏾👶🏻@TikTok #dontlearnfromkhaby,dontlearnfromkhaby,2/3/2023
"13,000,000",8٫739,1٫327,"1,300,000",22,Here you go with my music album covers🎶 #learnfromkhaby#CapaDeAlbum #albumcover,"learnfromkhaby, capadealbum, albumcover",2/2/2023
